Hireling	SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Share	Dmg-Min	Dmg-Max	Dmg/Lvl	Resist	Resist/Lvl	WType1	WType2	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	Head	Torso	Weapon	Shield
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	43	198	merca201	merca221	16000	150	567	25	377	19	113	14	87	12	385	24	3	22	29	6	83	7	pole	spea	comb	30	Vengeance	4	75	0	20	6	Concentration	1	10	0	20	4																									2	2	2	0
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	75	198	merca201	merca221	40000	150	1367	40	985	28	169	14	135	12	1153	36	4	46	53	8	139	4	pole	spea	comb	30	Vengeance	4	100	0	40	8	Concentration	1	10	0	35	8																									2	2	2	0
Desert Mercenary	Def-Nightmare	100	10	338	2	2	43	198	merca201	merca221	14000	150	567	25	377	19	113	14	87	12	385	24	3	22	29	6	83	7	pole	spea	def	30	Jab	14	75	10	25	8	Thorns	1	10	0	20	4																									2	2	2	0
Desert Mercenary	Def-Nightmare	100	10	338	2	2	75	198	merca201	merca221	36000	150	1367	40	985	28	169	14	135	12	1153	36	4	46	53	8	139	4	pole	spea	def	30	Jab	14	100	5	60	8	Thorns	1	10	0	35	8																									2	2	2	0
Desert Mercenary	Off-Nightmare	100	11	338	2	2	43	198	merca201	merca221	12000	150	567	25	377	19	113	14	87	12	385	24	3	22	29	6	83	7	pole	spea	off	30	Jab	14	75	8	25	8	Blessed Aim	1	10	0	20	4																									2	2	2	0
Desert Mercenary	Off-Nightmare	100	11	338	2	2	75	198	merca201	merca221	31000	150	1367	40	985	28	169	14	135	12	1153	36	4	46	53	8	139	4	pole	spea	off	30	Jab	14	100	10	60	8	Blessed Aim	1	10	0	35	8																									2	2	2	0
Desert Mercenary	Comb-Hell	100	12	338	2	3	75	198	merca201	merca221	45000	175	1230	40	887	28	165	14	131	12	1038	36	4	44	51	8	136	4	pole	spea	comb	30	Vengeance	4	100	0	50	8	Conviction	1	10	0	35	8																									2	2	2	0
Desert Mercenary	Def-Hell	100	13	338	2	3	75	198	merca201	merca221	45000	175	1230	40	887	28	165	14	131	12	1038	36	4	44	51	8	136	4	pole	spea	def	30	Jab	14	100	8	70	8	Salvation	1	10	0	35	8																									2	2	2	0
Desert Mercenary	Off-Hell	100	14	338	2	3	75	198	merca201	merca221	45000	175	1230	40	887	28	165	14	131	12	1038	36	4	44	51	8	136	4	pole	spea	off	30	Jab	14	100	10	70	8	Fanaticism	1	10	0	35	8																									2	2	2	0
Eastern Sorceror	Fire-Normal	0	15	359	3	1	15	252	merca222	merca241	1000	110	160	8	80	4	49	10	40	8	15	10		1	7	4	25	7	swor	shie	fire	10	Inferno	7	60	0	6	10	Fire Ball	7	30	0	4	10																									2	2	2	1
Eastern Sorceror	Fire-Normal	0	15	359	3	1	37	252	merca222	merca241	1000	110	336	14	168	10	77	10	62	8	235	20	3	12	18	4	64	7	swor	shie	fire	10	Inferno	7	60	0	13	10	Fire Ball	7	30	0	11	10																									2	2	2	1
Eastern Sorceror	Fire-Normal	0	15	359	3	1	61	252	merca222	merca241	1000	110	672	20	408	18	107	10	86	8	715	30	5	24	30	4	106	6	swor	shie	fire	10	Inferno	7	60	0	21	10	Fire Ball	7	30	0	19	10																									2	2	2	1
Eastern Sorceror	Cold-Normal	0	16	359	3	1	15	252	merca222	merca241	1500	120	160	8	80	4	49	10	40	8	15	10		1	7	4	25	7	swor	shie	cold	10	Glacial Spike	7	20	0	3	10	Frozen Armor	7	1000	0	2	10	Ice Blast	7	240	0	6	10																			2	2	2	1
Eastern Sorceror	Cold-Normal	0	16	359	3	1	37	252	merca222	merca241	1500	120	336	14	168	10	77	10	62	8	235	20	3	12	18	4	64	7	swor	shie	cold	10	Glacial Spike	7	20	0	7	10	Frozen Armor	7	1000	0	9	10	Ice Blast	7	240	0	13	10																			2	2	2	1
Eastern Sorceror	Cold-Normal	0	16	359	3	1	61	252	merca222	merca241	1500	120	672	20	408	16	107	10	86	8	715	30	5	24	30	4	106	4	swor	shie	cold	10	Glacial Spike	7	20	0	14	10	Frozen Armor	7	1000	0	17	10	Ice Blast	7	240	0	21	10																			2	2	2	1
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	15	252	merca222	merca241	1000	110	160	8	80	4	49	10	40	8	15	10		1	7	4	25	7	swor	shie	ltng	10	Charged Bolt	7	60	0	4	5	Lightning	7	30	0	3	10																									2	2	2	1
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	37	252	merca222	merca241	1000	110	336	14	168	10	77	10	62	8	235	20	3	12	18	4	64	7	swor	shie	ltng	10	Charged Bolt	7	60	0	8	5	Lightning	7	30	0	10	10																									2	2	2	1
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	61	252	merca222	merca241	1000	110	672	20	408	16	107	10	86	8	715	30	5	24	30	4	106	4	swor	shie	ltng	10	Charged Bolt	7	60	0	12	5	Lightning	7	30	0	18	10																									2	2	2	1
Eastern Sorceror	Fire-Nightmare	0	18	359	3	2	37	252	merca222	merca241	9500	120	302	14	151	10	73	10	58	8	212	20	3	10	16	4	61	7	swor	shie	fire	10	Inferno	7	60	0	12	10	Fire Ball	7	30	0	10	10																									2	2	2	1
Eastern Sorceror	Fire-Nightmare	0	18	359	3	2	61	252	merca222	merca241	9500	120	638	20	391	16	103	10	82	8	692	30	5	22	28	4	103	4	swor	shie	fire	10	Inferno	7	60	0	20	10	Fire Ball	7	30	0	18	10																									2	2	2	1
Eastern Sorceror	Cold-Nightmare	0	19	359	3	2	37	252	merca222	merca241	12000	130	302	14	151	10	73	10	58	8	212	20	3	10	16	4	61	7	swor	shie	cold	10	Glacial Spike	7	60	0	4	5	Frozen Armor	7	10	0	8	10	Ice Blast	7	30	0	12	10																			2	2	2	1
Eastern Sorceror	Cold-Nightmare	0	19	359	3	2	61	252	merca222	merca241	12000	130	638	20	391	16	103	10	82	8	692	30	5	22	28	4	103	4	swor	shie	cold	10	Glacial Spike	7	60	0	8	5	Frozen Armor	7	10	0	16	10	Ice Blast	7	30	0	20	10																			2	2	2	1
Eastern Sorceror	Ltng-Nightmare	0	20	359	3	2	37	252	merca222	merca241	10000	120	302	14	151	10	73	10	58	8	212	20	3	10	16	4	61	7	swor	shie	ltng	10	Charged Bolt	7	60	0	7	5	Lightning	7	30	0	9	10																									2	2	2	1
Eastern Sorceror	Ltng-Nightmare	0	20	359	3	2	61	252	merca222	merca241	10000	120	638	20	391	16	103	10	82	8	692	30	5	22	28	4	103	4	swor	shie	ltng	10	Charged Bolt	7	60	0	11	5	Lightning	7	30	0	17	10																									2	2	2	1
Eastern Sorceror	Fire-Hell	0	21	359	3	3	61	252	merca222	merca241	21000	130	574	20	352	16	99	10	78	8	623	30	5	20	26	4	100	4	swor	shie	fire	10	Inferno	7	60	0	19	10	Fire Ball	7	30	0	17	10																									2	2	2	1
Eastern Sorceror	Cold-Hell	0	22	359	3	3	61	252	merca222	merca241	27000	140	574	20	352	16	99	10	78	8	623	30	5	20	26	4	100	4	swor	shie	cold	10	Glacial Spike	7	60	0	7	5	Frozen Armor	7	1000	0	15	10	Ice Blast	7	240	0	19	10																			2	2	2	1
Eastern Sorceror	Ltng-Hell	0	23	359	3	3	61	252	merca222	merca241	21000	130	574	20	352	16	99	10	78	8	623	30	5	20	27	4	100	4	swor	shie	ltng	10	Charged Bolt	7	60	0	10	5	Lightning	7	30	0	16	10																									2	2	2	1
Eastern Sorceror	Fire-Normal	100	15	359	3	1	20	252	merca222	merca241	2500	110	60	3	80	5	49	10	40	8	15	12		1	7	4	25	7	swor	shie	fire	10	Inferno	7	40	0	6	4	Fire Ball	7	30	0	5	4	Firestorm	7	30	0	5	4																			2	2	2	1
Eastern Sorceror	Fire-Normal	100	15	359	3	1	49	252	merca222	merca241	15000	110	150	7	250	13	92	10	74	8	423	24	3	18	24	4	85	7	swor	shie	fire	10	Inferno	7	40	0	19	6	Fire Ball	7	30	0	20	6	Firestorm	7	30	0	20	6	Eruption	7	20	0	5	4	Fire Wall	7	15	0	10	4							2	2	2	1
Eastern Sorceror	Fire-Normal	100	15	359	3	1	79	252	merca222	merca241	33000	110	360	9	640	25	130	10	104	8	1143	36	5	33	39	4	138	6	swor	shie	fire	10	Inferno	7	40	0	40	8	Fire Ball	7	30	0	40	8	Firestorm	7	30	0	40	8	Eruption	7	15	0	18	6	Fire Wall	7	10	0	23	6	Meteor	7	5	0	10	4	2	2	2	1
Eastern Sorceror	Cold-Normal	100	16	359	3	1	20	252	merca222	merca241	3000	120	80	5	80	5	49	10	40	8	15	12		1	7	4	25	7	swor	shie	cold	10	Glacial Spike	7	20	0	1	2	Arctic Blast	7	10	0	5	4	Ice Bolt	7	40	0	6	4																			2	2	2	1
Eastern Sorceror	Cold-Normal	100	16	359	3	1	49	252	merca222	merca241	13000	120	220	7	250	13	92	10	74	8	423	24	3	18	24	4	85	7	swor	shie	cold	10	Glacial Spike	7	20	0	12	4	Arctic Blast	7	20	0	20	4	Ice Bolt	7	40	0	22	6	Frozen Orb	7	10	0	2	2													2	2	2	1
Eastern Sorceror	Cold-Normal	100	16	359	3	1	79	252	merca222	merca241	26500	120	460	12	640	25	130	10	104	8	1143	36	5	33	39	4	138	4	swor	shie	cold	10	Glacial Spike	7	20	0	28	6	Arctic Blast	7	30	0	35	8	Ice Bolt	7	40	0	45	8	Frozen Orb	7	10	0	10	4	Shiver Armor	7	5	0	10	4	Blizzard	7	5	0	10	4	2	2	2	1
Eastern Sorceror	Ltng-Normal	100	17	359	3	1	20	252	merca222	merca241	4000	110	80	4	80	5	49	10	40	8	15	12		1	7	4	25	7	swor	shie	ltng	10	Charged Bolt	7	50	0	5	8	Lightning	7	30	0	3	4	Nova	7	20	0	5	8																			2	2	2	1
Eastern Sorceror	Ltng-Normal	100	17	359	3	1	49	252	merca222	merca241	17000	110	190	7	250	13	92	10	74	8	423	24	3	18	24	4	85	7	swor	shie	ltng	10	Charged Bolt	7	50	0	35	8	Lightning	7	30	0	18	6	Nova	7	20	0	28	6	Chain Lightning	7	10	0	4	4													2	2	2	1
Eastern Sorceror	Ltng-Normal	100	17	359	3	1	79	252	merca222	merca241	37500	110	410	10	640	25	130	10	104	8	1143	36	5	33	39	4	138	4	swor	shie	ltng	10	Charged Bolt	7	50	0	65	8	Lightning	7	30	0	40	8	Nova	7	20	0	50	8	Chain Lightning	7	15	0	20	6	Thunder Storm	7	5	0	10	2	Energy Shield	7	5	0	10	4	2	2	2	1
Eastern Sorceror	Fire-Nightmare	100	18	359	3	2	49	252	merca222	merca241	21000	120	180	6	225	13	88	10	70	8	381	24	3	16	22	4	82	7	swor	shie	fire	10	Fire Wall	7	30	0	12	6	Fire Ball	7	30	0	20	6	Firestorm	7	30	0	20	6	Eruption	7	10	0	6	5	Inferno	7	10	0	25	6							2	2	2	1
Eastern Sorceror	Fire-Nightmare	100	18	359	3	2	79	252	merca222	merca241	37000	120	350	10	615	25	126	10	100	8	1101	36	5	31	37	4	135	4	swor	shie	fire	10	Fire Wall	7	30	0	35	8	Fire Ball	7	30	0	40	8	Firestorm	7	30	0	40	8	Eruption	7	10	0	24	8	Inferno	7	10	0	50	8	Meteor	7	5	0	15	8	2	2	2	1
Eastern Sorceror	Cold-Nightmare	100	19	359	3	2	49	252	merca222	merca241	17000	130	240	7	225	13	88	10	70	8	381	24	3	16	22	4	82	7	swor	shie	cold	10	Glacial Spike	7	40	0	15	6	Frozen Orb	7	20	0	10	4	Arctic Blast	7	20	0	25	4	Ice Bolt	7	10	0	25	8													2	2	2	1
Eastern Sorceror	Cold-Nightmare	100	19	359	3	2	79	252	merca222	merca241	30000	130	450	15	615	25	126	10	100	8	1101	36	5	31	37	4	135	4	swor	shie	cold	10	Glacial Spike	7	40	0	37	8	Frozen Orb	7	20	0	25	6	Arctic Blast	7	20	0	40	8	Ice Bolt	7	10	0	55	8	Shiver Armor	7	10	0	15	8	Blizzard	7	15	0	15	8	2	2	2	1
Eastern Sorceror	Ltng-Nightmare	100	20	359	3	2	49	252	merca222	merca241	24000	120	210	6	225	13	88	10	70	8	381	24	3	16	22	4	82	7	swor	shie	ltng	10	Charged Bolt	7	50	0	35	8	Lightning	7	30	0	20	6	Chain Lightning	7	20	0	8	6	Nova	7	10	0	25	8													2	2	2	1
Eastern Sorceror	Ltng-Nightmare	100	20	359	3	2	79	252	merca222	merca241	42000	120	400	12	615	25	126	10	100	8	1101	36	5	31	37	4	135	4	swor	shie	ltng	10	Charged Bolt	7	60	0	65	16	Lightning	7	30	0	45	8	Chain Lightning	7	20	0	30	8	Nova	7	10	0	55	8	Thunder Storm	7	15	0	15	6	Energy Shield	7	10	0	15	8	2	2	2	1
